,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,nDay,latestDay,nBasket,COUPON_DISC,dayWCoupRed,SALES_VALUE,RETAIL_DISC,COUPON_MATCH,distProdPDay,avgSalesPDay,avgCoupDiscPDay,avgRetlDiscPDay,coupRedPBask,frequency,recency,variety,monetary,redeemedCoup
16,35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+,43,90,710,90,-6.1,7,884.84,-88.39,-1.1,385,9.83,-0.07,-0.98,0.08,0.12,20,4.28,790.35,1
17,45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+,46,117,711,117,-19.97,11,8433.43,-1523.45,0.0,2076,72.08,-0.17,-13.02,0.09,0.16,19,17.74,6890.01,1
18,19-24,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,48,45,709,45,-5.5,4,1172.83,-211.2,0.0,356,26.06,-0.12,-4.69,0.09,0.06,21,7.91,956.13,1
19,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,49,108,702,108,-13.34,10,6445.03,-1453.55,-0.75,1721,59.68,-0.12,-13.46,0.09,0.15,28,15.94,4978.14,1
20,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,52,126,711,126,-1.0,1,5487.28,-565.3,0.0,1664,43.55,-0.01,-4.49,0.01,0.17,19,13.21,4920.98,1
21,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,55,135,703,135,0.0,0,1072.79,-194.34,0.0,385,7.95,0.0,-1.44,0.0,0.18,27,2.85,878.45,0
22,55-64,A,100-124K,Homeowner,2 Adults Kids,4,2,56,181,709,181,-39.22,42,6691.53,-1233.96,-8.55,2357,36.97,-0.22,-6.82,0.23,0.25,21,13.02,5418.35,1
23,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,57,156,709,156,-5.84,3,3105.87,-500.36,-0.45,899,19.91,-0.04,-3.21,0.02,0.21,21,5.76,2599.67,1
24,25-34,A,150-174K,Homeowner,2 Adults Kids,4,2,58,230,711,230,-58.25,65,10367.08,-1542.95,-12.799999999999999,2928,45.07,-0.25,-6.71,0.28,0.32,19,12.73,8765.88,1
25,45-54,A,Under 15K,Homeowner,2 Adults Kids,5+,3+,67,189,709,189,-230.25,232,9618.9,-2473.85,-57.64,2781,50.89,-1.22,-13.09,1.23,0.26,21,14.71,6914.8,1
26,35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown,71,85,711,85,-39.75,14,3376.03,-530.38,-1.25,659,39.72,-0.47,-6.24,0.16,0.12,19,7.75,2805.9,1
27,65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,74,121,656,121,-19.25,10,2047.64,-864.83,-0.75,1043,16.92,-0.16,-7.15,0.08,0.17,74,8.62,1163.56,1
28,35-44,A,100-124K,Homeowner,2 Adults Kids,5+,3+,77,86,710,86,-26.85,31,6227.1,-1260.28,-6.15,2466,72.41,-0.31,-14.65,0.36,0.12,20,28.67,4939.97,1
29,55-64,U,25-34K,Unknown,Single Male,1,None/Unknown,78,194,709,194,0.0,0,2505.14,-400.63,0.0,1036,12.91,0.0,-2.07,0.0,0.27,21,5.34,2104.51,0
30,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,80,85,694,85,-25.8,15,3002.09,-846.51,-1.6,1188,35.32,-0.3,-9.96,0.18,0.12,36,13.98,2129.78,1
31,25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,85,245,710,245,-4.05,3,4696.49,-948.81,-0.45,1737,19.17,-0.02,-3.87,0.01,0.34,20,7.09,3743.63,1
32,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,86,36,673,36,-2.5,1,4019.44,-516.38,0.0,1066,111.65,-0.07,-14.34,0.03,0.05,57,29.61,3500.56,1
33,45-54,U,75-99K,Unknown,Single Female,1,None/Unknown,97,164,706,164,-0.35,1,5323.95,-982.49,-0.35,1816,32.46,-0.0,-5.99,0.01,0.22,24,11.07,4341.11,1
34,35-44,U,35-49K,Unknown,1 Adult Kids,2,1,98,157,710,157,-2.0,1,2547.3,-526.12,0.0,1324,16.22,-0.01,-3.35,0.01,0.22,20,8.43,2019.18,1
35,45-54,A,Under 15K,Homeowner,2 Adults Kids,4,2,101,163,708,163,-52.44,22,6651.58,-2086.67,-3.45,1158,40.81,-0.32,-12.8,0.13,0.22,22,7.1,4512.47,1
36,35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+,104,115,711,115,-167.10999999999999,148,6546.74,-1547.87,-39.7,2374,56.93,-1.45,-13.46,1.29,0.16,19,20.64,4831.76,1
37,25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2,105,130,710,130,-25.63,37,4591.67,-1314.32,-11.35,2321,35.32,-0.2,-10.11,0.28,0.18,20,17.85,3251.72,1
38,25-34,A,15-24K,Homeowner,Single Female,2,None/Unknown,109,101,708,101,-1.25,2,3501.07,-452.3,-0.75,1441,34.66,-0.01,-4.48,0.02,0.14,22,14.27,3047.52,1
39,25-34,U,35-49K,Homeowner,Single Female,1,None/Unknown,110,151,711,151,-1.25,2,3461.32,-595.76,-0.25,1430,22.92,-0.01,-3.95,0.01,0.21,19,9.47,2864.31,1
40,35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,113,181,709,181,-83.38,75,15324.95,-2198.0099999999998,-13.55,4419,84.67,-0.46,-12.14,0.41,0.25,21,24.41,13043.56,1
41,25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,114,87,708,87,-1.4,2,3315.63,-530.12,-0.4,1061,38.11,-0.02,-6.09,0.02,0.12,22,12.2,2784.11,1
42,65+,B,35-49K,Probable Owner,2 Adults No Kids,2,None/Unknown,117,89,711,89,-13.3,18,2568.21,-544.01,-4.2,1378,28.86,-0.15,-6.11,0.2,0.12,19,15.48,2010.9,1
43,45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown,118,80,707,80,-1.5,2,4526.21,-541.97,-0.5,1552,56.58,-0.02,-6.77,0.02,0.11,23,19.4,3982.74,1
44,45-54,U,125-149K,Unknown,Single Male,1,None/Unknown,119,58,709,58,-7.24,3,2593.01,-209.62,0.0,762,44.71,-0.12,-3.61,0.05,0.08,21,13.14,2376.15,1
45,45-54,U,25-34K,Unknown,2 Adults Kids,3,1,121,90,669,90,-4.5,3,2225.58,-401.37,0.0,861,24.73,-0.05,-4.46,0.03,0.12,61,9.57,1819.71,1
46,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,123,151,691,151,-4.0,3,3222.65,-740.26,0.0,1272,21.34,-0.03,-4.9,0.02,0.21,39,8.42,2478.39,1
47,45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,127,160,711,160,-102.15,91,4658.2300000000005,-1308.52,-35.7,1465,29.11,-0.64,-8.18,0.57,0.22,19,9.16,3247.56,1
48,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,131,242,709,242,-71.17,24,6156.22,-1213.85,-2.3,1993,25.44,-0.29,-5.02,0.1,0.33,21,8.24,4871.2,1
49,45-54,A,Under 15K,Homeowner,Single Male,2,None/Unknown,133,70,706,70,-31.28,10,3823.89,-882.63,-1.2,1144,54.63,-0.45,-12.61,0.14,0.1,24,16.34,2909.98,1
50,55-64,A,25-34K,Homeowner,Single Female,2,None/Unknown,134,76,709,76,-22.9,17,5535.09,-1213.79,-2.65,1594,72.83,-0.3,-15.97,0.22,0.1,21,20.97,4298.4,1
51,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,136,68,694,68,-2.5,1,2804.82,-610.66,0.0,1231,41.25,-0.04,-8.98,0.01,0.09,36,18.1,2191.66,1
52,35-44,B,75-99K,Homeowner,Single Male,1,None/Unknown,139,72,710,72,-39.95,20,3073.33,-484.84,-2.1,1079,42.69,-0.55,-6.73,0.28,0.1,20,14.99,2548.54,1
53,45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,149,162,651,162,-4.5,1,11920.93,-1258.88,0.0,3077,73.59,-0.03,-7.77,0.01,0.22,79,18.99,10657.55,1
54,35-44,B,50-74K,Homeowner,2 Adults Kids,3,1,155,49,705,49,-5.45,6,2101.05,-342.88,-0.4,709,42.88,-0.11,-7.0,0.12,0.07,25,14.47,1752.72,1
55,19-24,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,157,145,709,145,-0.25,1,2748.9500000000003,-430.08,-0.25,948,18.96,-0.0,-2.97,0.01,0.2,21,6.54,2318.62,1
56,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,158,169,704,169,-125.19,126,1869.79,-402.88,-28.3,568,11.06,-0.74,-2.38,0.75,0.23,26,3.36,1341.72,1
57,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,159,78,697,78,-2.0,1,2143.87,-425.96999999999997,0.0,990,27.49,-0.03,-5.46,0.01,0.11,33,12.69,1715.9,1
58,19-24,A,75-99K,Unknown,2 Adults Kids,3,1,161,211,710,211,-3.34,3,6071.52,-1204.96,-0.45,2004,28.77,-0.02,-5.71,0.01,0.29,20,9.5,4863.22,1
59,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,164,103,708,103,-31.67,29,4272.41,-1055.33,-5.09,1841,41.48,-0.31,-10.25,0.28,0.14,22,17.87,3185.41,1
60,55-64,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,165,150,710,150,-15.040000000000001,18,2995.47,-1015.44,-3.9000000000000004,955,19.97,-0.1,-6.77,0.12,0.21,20,6.37,1964.99,1
61,25-34,A,50-74K,Homeowner,2 Adults Kids,3,1,166,119,706,119,0.0,0,3059.69,-374.34999999999997,0.0,869,25.71,0.0,-3.15,0.0,0.16,24,7.3,2685.34,0
62,25-34,A,100-124K,Homeowner,2 Adults Kids,4,2,170,43,693,43,-3.45,5,2024.51,-523.28,-1.75,758,47.08,-0.08,-12.17,0.12,0.06,37,17.63,1497.78,1
63,25-34,A,25-34K,Homeowner,1 Adult Kids,5+,3+,178,105,711,105,-32.36,26,2028.47,-310.68,-4.15,640,19.32,-0.31,-2.96,0.25,0.14,19,6.1,1685.43,1
64,45-54,U,25-34K,Unknown,Single Male,1,None/Unknown,184,195,711,195,-29.22,20,7090.07,-1048.93,-1.85,1529,36.36,-0.15,-5.38,0.1,0.27,19,7.84,6011.92,1
65,45-54,A,35-49K,Homeowner,Single Male,2,None/Unknown,192,93,710,93,-15.3,17,3778.08,-552.28,-3.1,1252,40.62,-0.16,-5.94,0.18,0.13,20,13.46,3210.5,1
66,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,193,100,694,100,-5.0,4,4814.66,-580.8,0.0,891,48.15,-0.05,-5.81,0.04,0.14,36,8.91,4228.86,1
67,35-44,A,Under 15K,Homeowner,2 Adults Kids,3,1,198,234,709,234,-22.740000000000002,18,8659.17,-1818.86,-0.5,3299,37.01,-0.1,-7.77,0.08,0.32,21,14.1,6817.57,1
68,45-54,A,15-24K,Homeowner,2 Adults Kids,5+,3+,201,43,704,43,-5.0,2,1435.17,-358.64,0.0,489,33.38,-0.12,-8.34,0.05,0.06,26,11.37,1071.53,1
69,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,208,129,701,129,-147.59,166,4296.33,-1146.58,-55.96,1397,33.3,-1.14,-8.89,1.29,0.18,29,10.83,3002.16,1
70,45-54,U,25-34K,Homeowner,2 Adults Kids,3,1,209,143,710,143,-114.25,58,6876.56,-1216.32,-13.55,1674,48.09,-0.8,-8.51,0.41,0.2,20,11.71,5545.99,1
71,65+,A,35-49K,Homeowner,Single Female,2,None/Unknown,211,105,710,105,0.0,0,2244.06,-383.14,0.0,925,21.37,0.0,-3.65,0.0,0.14,20,8.81,1860.92,0
72,35-44,U,Under 15K,Unknown,Single Female,1,None/Unknown,212,104,697,104,-5.49,4,3052.66,-452.15,-0.5,1198,29.35,-0.05,-4.35,0.04,0.14,33,11.52,2595.02,1
73,55-64,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,214,85,704,85,-11.8,11,2657.91,-511.77,-1.3,1070,31.27,-0.14,-6.02,0.13,0.12,26,12.59,2134.34,1
74,35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,216,108,711,108,-5.1899999999999995,6,2624.5,-299.38,-1.3,704,24.3,-0.05,-2.77,0.06,0.15,19,6.52,2319.93,1
75,45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,218,137,711,137,-3.4,2,9211.72,-1039.14,0.0,2032,67.24,-0.02,-7.58,0.01,0.19,19,14.83,8169.18,1
76,55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,219,205,709,205,-4.13,8,11884.79,-1464.7,-1.05,3516,57.97,-0.02,-7.14,0.04,0.28,21,17.15,10415.96,1
77,45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,220,74,679,74,-3.8,3,2525.24,-503.98,-0.3,854,34.12,-0.05,-6.81,0.04,0.1,51,11.54,2017.46,1
78,65+,U,15-24K,Unknown,Unknown,1,None/Unknown,221,72,695,72,-14.49,17,2879.29,-674.68,-3.85,1259,39.99,-0.2,-9.37,0.24,0.1,35,17.49,2190.12,1
79,35-44,A,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,222,117,709,117,-4.5,3,5897.9,-678.03,0.0,2275,50.41,-0.04,-5.8,0.03,0.16,21,19.44,5215.37,1
80,25-34,U,25-34K,Unknown,Single Female,1,None/Unknown,230,147,711,147,-24.689999999999998,23,4521.01,-1027.99,-5.1,1932,30.76,-0.17,-6.99,0.16,0.2,19,13.14,3468.33,1
81,35-44,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,232,292,672,292,-76.12,52,12695.57,-2173.29,-5.45,4012,43.48,-0.26,-7.44,0.18,0.4,58,13.74,10446.16,1
82,35-44,A,250K+,Homeowner,2 Adults Kids,5+,3+,235,181,708,181,-16.75,16,12156.64,-1169.59,-5.95,2771,67.16,-0.09,-6.46,0.09,0.25,22,15.31,10970.3,1
83,45-54,U,50-74K,Renter,Unknown,1,None/Unknown,239,240,711,240,-120.12,128,4671.2,-990.36,-25.2,2831,19.46,-0.5,-4.13,0.53,0.33,19,11.8,3560.72,1
84,45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,242,86,711,86,-12.4,13,5231.8,-709.59,-2.6,1799,60.83,-0.14,-8.25,0.15,0.12,19,20.92,4509.81,1
85,65+,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,243,207,710,207,-13.6,14,8074.12,-831.58,-2.3,2234,39.01,-0.07,-4.02,0.07,0.28,20,10.79,7228.94,1
86,35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,248,53,704,53,-120.98,120,6039.01,-1997.99,-17.1,2077,113.94,-2.28,-37.7,2.26,0.07,26,39.19,3920.04,1
87,35-44,A,Under 15K,Renter,Unknown,3,1,249,117,704,117,-58.75,19,2823.23,-485.34999999999997,-0.25,1119,24.13,-0.5,-4.15,0.16,0.16,26,9.56,2279.13,1
88,45-54,A,75-99K,Homeowner,1 Adult Kids,4,2,250,119,706,119,-25.75,39,5991.84,-766.54,-10.549999999999999,2110,50.35,-0.22,-6.44,0.33,0.16,24,17.73,5199.55,1
89,45-54,U,Under 15K,Unknown,Single Female,1,None/Unknown,253,262,710,262,-84.39,75,10993.710000000001,-3211.57,-37.45,4599,41.96,-0.32,-12.26,0.29,0.36,20,17.55,7697.75,1
90,25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,256,115,711,115,-110.36,94,9850.35,-1026.8,-16.15,3064,85.66,-0.96,-8.93,0.82,0.16,19,26.64,8713.19,1
91,25-34,U,25-34K,Unknown,1 Adult Kids,3,2,257,95,698,95,-0.65,1,2689.9900000000002,-689.63,-0.35,1119,28.32,-0.01,-7.26,0.01,0.13,32,11.78,1999.71,1
92,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,263,298,708,298,-11.08,14,5870.33,-1071.8,-3.45,2232,19.7,-0.04,-3.6,0.05,0.41,22,7.49,4787.45,1
93,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,264,59,680,59,-1.0,1,1783.07,-374.75,0.0,658,30.22,-0.02,-6.35,0.02,0.08,50,11.15,1407.32,1
94,35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,276,137,709,137,-1.0,1,5758.71,-1226.84,0.0,1595,42.03,-0.01,-8.96,0.01,0.19,21,11.64,4530.87,1
95,35-44,B,50-74K,Homeowner,Single Female,1,None/Unknown,281,79,706,79,-7.6,5,1495.08,-389.92,-0.9,538,18.93,-0.1,-4.94,0.06,0.11,24,6.81,1097.56,1
96,45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,282,93,711,93,-31.14,43,4162.56,-560.91,-12.55,1259,44.76,-0.33,-6.03,0.46,0.13,19,13.54,3570.51,1
97,25-34,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,283,73,700,73,-72.34,26,6023.37,-882.32,-1.15,1826,82.51,-0.99,-12.09,0.36,0.1,30,25.01,5068.71,1
98,45-54,B,100-124K,Homeowner,Single Male,1,None/Unknown,289,146,698,146,-1.6,2,5970.47,-609.55,-0.4,1606,40.89,-0.01,-4.18,0.01,0.2,32,11.0,5359.32,1
99,25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,290,235,710,235,-4.0,4,5524.34,-1080.55,0.0,2572,23.51,-0.02,-4.6,0.02,0.32,20,10.94,4439.79,1
100,25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,294,236,710,236,-65.27,46,5411.36,-1501.65,-6.35,2324,22.93,-0.28,-6.36,0.19,0.32,20,9.85,3844.44,1
101,55-64,A,Under 15K,Unknown,Single Female,2,None/Unknown,300,95,685,95,-16.18,5,4974.31,-883.54,-1.45,1536,52.36,-0.17,-9.3,0.05,0.13,45,16.17,4074.59,1
102,35-44,A,35-49K,Homeowner,2 Adults Kids,4,2,301,77,711,77,-4.8,5,7211.68,-1211.34,-0.8,2394,93.66,-0.06,-15.73,0.06,0.11,19,31.09,5995.54,1
103,45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,302,88,691,88,-0.5,1,1797.53,-223.35,-0.5,540,20.43,-0.01,-2.54,0.01,0.12,39,6.14,1573.68,1
104,25-34,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,304,256,711,256,-6.5,3,8586.28,-1786.09,0.0,2895,33.54,-0.03,-6.98,0.01,0.35,19,11.31,6793.69,1
105,19-24,U,35-49K,Homeowner,2 Adults Kids,4,2,306,149,711,149,-137.26,109,5716.73,-1853.09,-35.95,2285,38.37,-0.92,-12.44,0.73,0.2,19,15.34,3726.38,1
106,25-34,A,75-99K,Homeowner,Single Male,2,None/Unknown,309,21,624,21,-6.0,5,2325.59,-464.39,-1.5,689,110.74,-0.29,-22.11,0.24,0.03,106,32.81,1855.2,1
107,45-54,U,75-99K,Homeowner,2 Adults Kids,3,1,314,34,707,34,0.0,0,3004.01,-462.75,0.0,1234,88.35,0.0,-13.61,0.0,0.05,23,36.29,2541.26,0
108,45-54,A,75-99K,Homeowner,Single Male,2,None/Unknown,317,59,710,59,-42.09,56,6083.3,-939.78,-14.15,1765,103.11,-0.71,-15.93,0.95,0.08,20,29.92,5101.43,1
109,45-54,U,35-49K,Homeowner,1 Adult Kids,4,3+,319,92,690,92,-6.8,6,3758.5,-828.68,-0.7,1387,40.85,-0.07,-9.01,0.07,0.13,40,15.08,2923.02,1
110,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,321,101,690,101,-89.09,109,5935.66,-1177.04,-30.3,1666,58.77,-0.88,-11.65,1.08,0.14,40,16.5,4669.53,1
111,45-54,U,50-74K,Unknown,Single Female,1,None/Unknown,324,115,711,115,-45.05,44,8554.87,-855.0,-7.8500000000000005,2369,74.39,-0.39,-7.43,0.38,0.16,19,20.6,7654.82,1
112,35-44,A,75-99K,Homeowner,2 Adults Kids,4,2,325,73,698,73,-34.59,32,2850.58,-1053.81,-12.2,1019,39.05,-0.47,-14.44,0.44,0.1,32,13.96,1762.18,1
113,25-34,U,75-99K,Unknown,Single Female,1,None/Unknown,329,144,706,144,0.0,0,3026.71,-253.54,0.0,1409,21.02,0.0,-1.76,0.0,0.2,24,9.78,2773.17,0
114,35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,332,109,707,109,-4.5,3,5519.0199999999995,-1192.48,0.0,1981,50.63,-0.04,-10.94,0.03,0.15,23,18.17,4322.04,1
115,45-54,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,334,278,711,278,-86.19,65,4827.8,-1342.24,-10.8,2027,17.37,-0.31,-4.83,0.23,0.38,19,7.29,3399.37,1
116,65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,346,119,706,119,-4.0,3,5351.41,-889.5,0.0,1652,44.97,-0.03,-7.47,0.03,0.16,24,13.88,4457.91,1
117,45-54,A,50-74K,Homeowner,1 Adult Kids,4,2,350,92,710,92,-4.1,2,3083.25,-283.24,-0.9,683,33.51,-0.04,-3.08,0.02,0.13,20,7.42,2795.91,1
118,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,351,234,709,234,-15.99,15,7659.67,-1672.72,-5.7,2225,32.73,-0.07,-7.15,0.06,0.32,21,9.51,5970.96,1
119,45-54,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,353,114,700,114,-7.5,8,3799.2000000000003,-566.28,-2.2,1138,33.33,-0.07,-4.97,0.07,0.16,30,9.98,3225.42,1
120,25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+,354,152,709,152,-127.14999999999999,140,8729.87,-1255.1,-37.9,3115,57.43,-0.84,-8.26,0.92,0.21,21,20.49,7347.62,1
121,35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,358,307,711,307,-9.32,6,12729.34,-1518.81,-0.6000000000000001,3643,41.46,-0.03,-4.95,0.02,0.42,19,11.87,11201.21,1
122,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,361,201,711,201,-24.89,21,8747.1,-2023.46,-2.0,4006,43.52,-0.12,-10.07,0.1,0.28,19,19.93,6698.75,1
123,65+,U,50-74K,Unknown,Single Male,1,None/Unknown,362,90,706,90,-20.18,18,2987.4900000000002,-412.28,-1.4,1157,33.19,-0.22,-4.58,0.2,0.12,24,12.86,2555.03,1
124,55-64,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,367,98,708,98,-280.08,304,7186.37,-2343.41,-81.64999999999999,2627,73.33,-2.86,-23.91,3.1,0.13,22,26.81,4562.88,1
125,65+,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,370,120,556,120,-7.029999999999999,8,3386.78,-508.23,-1.5499999999999998,1127,28.22,-0.06,-4.24,0.07,0.16,174,9.39,2871.52,1
126,35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,371,154,711,154,-18.15,19,15716.54,-2715.58,-2.15,5669,102.06,-0.12,-17.63,0.12,0.21,19,36.81,12982.81,1
127,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,377,128,711,128,0.0,0,3166.45,-580.37,0.0,1284,24.74,0.0,-4.53,0.0,0.18,19,10.03,2586.08,0
128,55-64,A,50-74K,Homeowner,Single Female,2,None/Unknown,378,294,708,294,-26.04,26,4715.42,-637.68,-7.05,1523,16.04,-0.09,-2.17,0.09,0.4,22,5.18,4051.7,1
129,25-34,B,35-49K,Homeowner,1 Adult Kids,2,1,381,84,699,84,-23.25,13,3120.79,-448.34,-0.75,1105,37.15,-0.28,-5.34,0.15,0.12,31,13.15,2649.2,1
130,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,383,136,693,136,-27.15,30,5763.44,-885.55,-4.55,1878,42.38,-0.2,-6.51,0.22,0.19,37,13.81,4850.74,1
